college_id,ranking_authority,ranking_year,overall_rank,overall_score,overall_total_score,parameter_id,parameter_score,rank_band
32668,2,2021,,31.3–35.1,100,5,19.5,301–400
32668,2,2020,,30.0–34.6,100,5,18,301–400
32668,2,2019,,28.5–33.1,100,5,16,301–400
32669,2,2023,,47.1–50.1,100,1,96.1,126–150
32669,2,2022,,45.4–48.4,100,1,95.6,126–150
32669,2,2021,,49.0–53.1,100,1,92.1,101–125
32669,2,2020,,48.7–52.2,100,1,94.5,101–125
32669,2,2019,,48.1–50.8,100,1,95.5,101–125
32669,2,2023,,47.1–50.1,100,2,34.3,126–150
32669,2,2022,,45.4–48.4,100,2,34,126–150
32669,2,2021,,49.0–53.1,100,2,33.9,101–125
32669,2,2020,,48.7–52.2,100,2,35.1,101–125
32669,2,2019,,48.1–50.8,100,2,33.4,101–125
32669,2,2023,,47.1–50.1,100,3,74.3,126–150
32669,2,2022,,45.4–48.4,100,3,77.9,126–150
32669,2,2021,,49.0–53.1,100,3,79.3,101–125
32669,2,2020,,48.7–52.2,100,3,86.1,101–125
32669,2,2019,,48.1–50.8,100,3,87,101–125
32669,2,2023,,47.1–50.1,100,4,26,126–150
32669,2,2022,,45.4–48.4,100,4,28.6,126–150
32669,2,2021,,49.0–53.1,100,4,29.9,101–125
32669,2,2020,,48.7–52.2,100,4,28.4,101–125
32669,2,2019,,48.1–50.8,100,4,24.1,101–125
32669,2,2023,,47.1–50.1,100,5,25.1,126–150
32669,2,2022,,45.4–48.4,100,5,23.3,126–150
32669,2,2021,,49.0–53.1,100,5,29.3,101–125
32669,2,2020,,48.7–52.2,100,5,32.2,101–125
32669,2,2019,,48.1–50.8,100,5,27.8,101–125
32670,2,2023,,50.3–53.0,100,1,64.4,101–125
32670,2,2022,,45.4–48.4,100,1,59,126–150
32670,2,2021,,45.9–48.5,100,1,65,126–150
32670,2,2020,,45.7–48.6,100,1,66.6,126–150
32670,2,2019,,48.1–50.8,100,1,69.8,101–125
32670,2,2023,,50.3–53.0,100,2,34.1,101–125
32670,2,2022,,45.4–48.4,100,2,34,126–150
32670,2,2021,,45.9–48.5,100,2,33.7,126–150
32670,2,2020,,45.7–48.6,100,2,35.1,126–150
32670,2,2019,,48.1–50.8,100,2,33.2,101–125
32670,2,2023,,50.3–53.0,100,3,77.4,101–125
32670,2,2022,,45.4–48.4,100,3,75.9,126–150
32670,2,2021,,45.9–48.5,100,3,72.3,126–150
32670,2,2020,,45.7–48.6,100,3,71.4,126–150
32670,2,2019,,48.1–50.8,100,3,72.3,101–125
32670,2,2023,,50.3–53.0,100,4,46.2,101–125
32670,2,2022,,45.4–48.4,100,4,40.7,126–150
32670,2,2021,,45.9–48.5,100,4,39.7,126–150
32670,2,2020,,45.7–48.6,100,4,41.1,126–150
32670,2,2019,,48.1–50.8,100,4,43.4,101–125
32670,2,2023,,50.3–53.0,100,5,41.5,101–125
32670,2,2022,,45.4–48.4,100,5,38.1,126–150
32670,2,2021,,45.9–48.5,100,5,32.9,126–150
32670,2,2020,,45.7–48.6,100,5,31.8,126–150
32670,2,2019,,48.1–50.8,100,5,33.2,101–125
32671,2,2023,,45.0–47.0,100,1,82.3,151–175
32671,2,2022,,41.5–43.3,100,1,80.3,176–200
32671,2,2021,,42.0–43.8,100,1,84.6,176–200
32671,2,2020,,40.6–42.9,100,1,88.3,176–200
32671,2,2019,,42.8–44.9,100,1,90,151–175
32671,2,2023,,45.0–47.0,100,2,34,151–175
32671,2,2022,,41.5–43.3,100,2,33.9,176–200
32671,2,2021,,42.0–43.8,100,2,33.4,176–200
32671,2,2020,,40.6–42.9,100,2,34.1,176–200
32671,2,2019,,42.8–44.9,100,2,33.3,151–175
32671,2,2023,,45.0–47.0,100,3,77,151–175
32671,2,2022,,41.5–43.3,100,3,74.6,176–200
32671,2,2021,,42.0–43.8,100,3,74.4,176–200
32671,2,2020,,40.6–42.9,100,3,75.3,176–200
32671,2,2019,,42.8–44.9,100,3,74.5,151–175
32671,2,2023,,45.0–47.0,100,4,28.1,151–175
32671,2,2022,,41.5–43.3,100,4,24.3,176–200
32671,2,2021,,42.0–43.8,100,4,22,176–200
32671,2,2020,,40.6–42.9,100,4,20.9,176–200
32671,2,2019,,42.8–44.9,100,4,19.4,151–175
32671,2,2023,,45.0–47.0,100,5,31,151–175
32671,2,2022,,41.5–43.3,100,5,27.3,176–200
32671,2,2021,,42.0–43.8,100,5,23.2,176–200
32671,2,2020,,40.6–42.9,100,5,22.4,176–200
32671,2,2019,,42.8–44.9,100,5,24.3,151–175
32672,2,2023,,38.0–39.7,100,1,74.3,251–300
32672,2,2022,,38.3–41.4,100,1,77.8,201–250
32672,2,2021,,37.9–41.9,100,1,79.7,201–250
32672,2,2020,,40.6–42.9,100,1,82.7,176–200
32672,2,2019,,42.8–44.9,100,1,84.6,151–175
32672,2,2023,,38.0–39.7,100,2,34.2,251–300
32672,2,2022,,38.3–41.4,100,2,34.2,201–250
32672,2,2021,,37.9–41.9,100,2,34.1,201–250
32672,2,2020,,40.6–42.9,100,2,34.7,176–200
32672,2,2019,,42.8–44.9,100,2,34.1,151–175
32672,2,2023,,38.0–39.7,100,3,67.4,251–300
32672,2,2022,,38.3–41.4,100,3,67.1,201–250
32672,2,2021,,37.9–41.9,100,3,68.9,201–250
32672,2,2020,,40.6–42.9,100,3,71.5,176–200
32672,2,2019,,42.8–44.9,100,3,74.7,151–175
32672,2,2023,,38.0–39.7,100,4,19,251–300
32672,2,2022,,38.3–41.4,100,4,21.6,201–250
32672,2,2021,,37.9–41.9,100,4,24.3,201–250
32672,2,2020,,40.6–42.9,100,4,23.3,176–200
32672,2,2019,,42.8–44.9,100,4,25,151–175
32672,2,2023,,38.0–39.7,100,5,27.3,251–300
32672,2,2022,,38.3–41.4,100,5,24.6,201–250
32672,2,2021,,37.9–41.9,100,5,23.5,201–250
32672,2,2020,,40.6–42.9,100,5,19.9,176–200
32672,2,2019,,42.8–44.9,100,5,26.9,151–175
32674,2,2023,,45.0–47.0,100,1,73.7,151–175
32674,2,2022,,45.4–48.4,100,1,76.1,126–150
32674,2,2021,,45.9–48.5,100,1,73.9,126–150
32674,2,2020,,43.0–45.5,100,1,72.5,151–175
32674,2,2019,,36.3–39.9,100,1,70.5,201–250
32674,2,2023,,45.0–47.0,100,2,34.6,151–175
32674,2,2022,,45.4–48.4,100,2,34.1,126–150
32674,2,2021,,45.9–48.5,100,2,33.9,126–150
32674,2,2020,,43.0–45.5,100,2,34.8,151–175
32674,2,2019,,36.3–39.9,100,2,34.1,201–250
32674,2,2023,,45.0–47.0,100,3,75.3,151–175
32674,2,2022,,45.4–48.4,100,3,70.4,126–150
32674,2,2021,,45.9–48.5,100,3,68.5,126–150
32674,2,2020,,43.0–45.5,100,3,67.2,151–175
32674,2,2019,,36.3–39.9,100,3,65.8,201–250
32674,2,2023,,45.0–47.0,100,4,33.1,151–175
32674,2,2022,,45.4–48.4,100,4,33.6,126–150
32674,2,2021,,45.9–48.5,100,4,32.8,126–150
32674,2,2020,,43.0–45.5,100,4,27.1,151–175
32674,2,2019,,36.3–39.9,100,4,24.4,201–250
32674,2,2023,,45.0–47.0,100,5,34.3,151–175
32674,2,2022,,45.4–48.4,100,5,33.2,126–150
32674,2,2021,,45.9–48.5,100,5,34.6,126–150
32674,2,2020,,43.0–45.5,100,5,33.3,151–175
32674,2,2019,,36.3–39.9,100,5,22.7,201–250
32676,2,2023,,33.5–37.9,100,1,53.1,301–400
32676,2,2022,,32.2–35.7,100,1,55,301–400
32676,2,2021,,31.3–35.1,100,1,57.2,301–400
32676,2,2020,,30.0–34.6,100,1,62.9,301–400
32676,2,2019,,33.3–36.2,100,1,64.5,251–300
32676,2,2023,,33.5–37.9,100,2,37.8,301–400
32676,2,2022,,32.2–35.7,100,2,34.8,301–400
32676,2,2021,,31.3–35.1,100,2,33.6,301–400
32676,2,2020,,30.0–34.6,100,2,34.1,301–400
32676,2,2019,,33.3–36.2,100,2,33.2,251–300
32676,2,2023,,33.5–37.9,100,3,68.7,301–400
32676,2,2022,,32.2–35.7,100,3,75.1,301–400
32676,2,2021,,31.3–35.1,100,3,75.5,301–400
32676,2,2020,,30.0–34.6,100,3,69.4,301–400
32676,2,2019,,33.3–36.2,100,3,70,251–300
32676,2,2023,,33.5–37.9,100,4,26,301–400
32676,2,2022,,32.2–35.7,100,4,21.6,301–400
32676,2,2021,,31.3–35.1,100,4,22.1,301–400
32676,2,2020,,30.0–34.6,100,4,23.1,301–400
32676,2,2019,,33.3–36.2,100,4,22.9,251–300
32676,2,2023,,33.5–37.9,100,5,23.8,301–400
32676,2,2022,,32.2–35.7,100,5,17.2,301–400
32676,2,2021,,31.3–35.1,100,5,16.5,301–400
32676,2,2020,,30.0–34.6,100,5,13.6,301–400
32676,2,2019,,33.3–36.2,100,5,19.2,251–300
32677,2,2023,98,54.2,100,1,97.1,
32677,2,2019,,48.1–50.8,100,1,94.3,101–125
32677,2,2023,98,54.2,100,2,35.8,
32677,2,2019,,48.1–50.8,100,2,35.4,101–125
32677,2,2023,98,54.2,100,3,86.1,
32677,2,2019,,48.1–50.8,100,3,79.4,101–125
32677,2,2023,98,54.2,100,4,36.2,
32677,2,2019,,48.1–50.8,100,4,35.1,101–125
32677,2,2023,98,54.2,100,5,33.3,
32677,2,2019,,48.1–50.8,100,5,27.1,101–125
32685,2,2023,,29.5–33.4,100,1,64.3,401–500
32685,2,2022,,28.2–32.1,100,1,70.2,401–500
32685,2,2021,,31.3–35.1,100,1,68.2,301–400
32685,2,2020,,25.6–29.9,100,1,65.5,401–500
32685,2,2019,,23.6–28.4,100,1,69.4,401–500
32685,2,2023,,29.5–33.4,100,2,34.2,401–500
32685,2,2022,,28.2–32.1,100,2,33.9,401–500
32685,2,2021,,31.3–35.1,100,2,33.5,301–400
32685,2,2020,,25.6–29.9,100,2,34.2,401–500
32685,2,2019,,23.6–28.4,100,2,32.8,401–500
32685,2,2023,,29.5–33.4,100,3,78.7,401–500
32685,2,2022,,28.2–32.1,100,3,67,401–500
32685,2,2021,,31.3–35.1,100,3,70.1,301–400
32685,2,2020,,25.6–29.9,100,3,65.9,401–500
32685,2,2019,,23.6–28.4,100,3,57.2,401–500
32685,2,2023,,29.5–33.4,100,4,11,401–500
32685,2,2022,,28.2–32.1,100,4,13,401–500
32685,2,2021,,31.3–35.1,100,4,16.4,301–400
32685,2,2020,,25.6–29.9,100,4,14,401–500
32685,2,2019,,23.6–28.4,100,4,8.1,401–500
32685,2,2023,,29.5–33.4,100,5,12.5,401–500
32685,2,2022,,28.2–32.1,100,5,13.5,401–500
32685,2,2021,,31.3–35.1,100,5,12,301–400
32685,2,2020,,25.6–29.9,100,5,9.6,401–500
32685,2,2019,,23.6–28.4,100,5,8.9,401–500
32686,2,2023,,33.5–37.9,100,1,67.6,301–400
32686,2,2022,,32.2–35.7,100,1,69.3,301–400
32686,2,2021,,27.1–31.2,100,1,61.9,401–500
32686,2,2020,,25.6–29.9,100,1,55.9,401–500
32686,2,2019,,28.5–33.1,100,1,66.2,301–400
32686,2,2023,,33.5–37.9,100,2,34,301–400
32686,2,2022,,32.2–35.7,100,2,33.9,301–400
32686,2,2021,,27.1–31.2,100,2,33.3,401–500
32686,2,2020,,25.6–29.9,100,2,34.9,401–500
32686,2,2019,,28.5–33.1,100,2,34.1,301–400
32686,2,2023,,33.5–37.9,100,3,63.9,301–400
32686,2,2022,,32.2–35.7,100,3,61.3,301–400
32686,2,2021,,27.1–31.2,100,3,60.2,401–500
32686,2,2020,,25.6–29.9,100,3,58.2,401–500
32686,2,2019,,28.5–33.1,100,3,62,301–400
32686,2,2023,,33.5–37.9,100,4,18,301–400
32686,2,2022,,32.2–35.7,100,4,18.6,301–400
32686,2,2021,,27.1–31.2,100,4,16,401–500
32686,2,2020,,25.6–29.9,100,4,13.8,401–500
32686,2,2019,,28.5–33.1,100,4,12.5,301–400
32686,2,2023,,33.5–37.9,100,5,16.5,301–400
32686,2,2022,,32.2–35.7,100,5,12.9,301–400
32686,2,2021,,27.1–31.2,100,5,11.1,401–500
32686,2,2020,,25.6–29.9,100,5,9.5,401–500
32686,2,2019,,28.5–33.1,100,5,8.9,301–400
32687,2,2023,44,66.2,100,1,70.8,
32687,2,2022,70,59.9,100,1,71.2,
32687,2,2021,54,64,100,1,76.2,
32687,2,2020,38,67.7,100,1,75.2,
32687,2,2019,33,69.4,100,1,73.5,
32687,2,2023,44,66.2,100,2,57.4,
32687,2,2022,70,59.9,100,2,59.4,
32687,2,2021,54,64,100,2,62.2,
32687,2,2020,38,67.7,100,2,62.5,
32687,2,2019,33,69.4,100,2,65.3,
32687,2,2023,44,66.2,100,3,82.6,
32687,2,2022,70,59.9,100,3,82.5,
32687,2,2021,54,64,100,3,83,
32687,2,2020,38,67.7,100,3,82.9,
32687,2,2019,33,69.4,100,3,81.4,
32687,2,2023,44,66.2,100,4,62.5,
32687,2,2022,70,59.9,100,4,56.2,
32687,2,2021,54,64,100,4,58.3,
32687,2,2020,38,67.7,100,4,62,
